address,token,caller,entry_fdv,old_ath,new_ath,old_mult,new_mult,mult_diff
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Cooker,413600.0,413600.0,257000000.0,1.353957930367505,621.3733075435204,620.0193496131528
svy5ErijNYy9hEVzxknCdwWdZ3NeXJTdpb9Ndnso17f,G*BOY,ton the neko,11800000.0,11800000.0,6700000000.0,1.0,567.7966101694915,566.7966101694915
WW3n3o75qQcbUPPycap8QM7TgJZ1Geddv6XVX9pVXjQ,YZY,melon,69800.0,69800.0,22600000.0,1.0,323.7822349570201,322.7822349570201
2xMQtnnstq36V7EwVvL2sf9BB7bBy8zXiLMu7CVibonk,your.fun,melon,9000.0,9000.0,2500000.0,1.0,277.77777777777777,276.77777777777777
6QhnCcNEbXvRWxpUAkzkEU8UcMD6GZfL9s4oEPfUpump,Spizee,Cooker,5700.0,5700.0,1500000.0,1.0,263.1578947368421,262.1578947368421
Dp8fc49A73C1ycnTzRet8oEWNRSpUymqcCbYsse5pump,GROKAN APP,Cooker,13200.0,13200.0,2300000.0,1.0,174.24242424242425,173.24242424242425
zJQQ2zZ5ggJKXBpaNNxJdmB2JJodJJvudQUbyZQpump,yarl,Cooker,14000.0,14000.0,2300000.0,1.0,164.28571428571428,163.28571428571428
DxiYSR3KTArNUyQWSXJKAxbu73NUKds64EG9dQNEpump,South Sea Company,Cooker,15700.0,15700.0,2500000.0,1.0,159.23566878980893,158.23566878980893
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,Just a chill guy,Furkantekno,3000000.0,5400000.0,486000000.0,4.044725,162.0,157.955275
66LPmREAYBqPeyidL7LMW7RaJjKbfADbuUMsqatkpump,Fork Chain,melon,37300.0,37300.0,5900000.0,1.0,158.1769436997319,157.1769436997319
E3HZVvNcoRb3ZDUFVJ4hcSu43dT1pLompNDQ3AFobonk,catalyst,Cooker,5400.0,5400.0,745000.0,1.0,137.96296296296296,136.96296296296296
5gYUyYuJTispYeRyZ46WjqcgtQJGeArppGykYhTTpump,SPURDO,Cooker,8000.0,8000.0,1100000.0,1.0,137.5,136.5
GJZJsDnJaqGuGxgARRYNhzBWEzfST4sngHKLP2nppump,Right-Hook Dog,melon,14500.0,14500.0,1900000.0,1.0,131.0344827586207,130.0344827586207
GfJFZiRXGMiqmeAQFXgD2iux1uE3kVAPAFgVs1pR1dYH,1649AC,ton the neko,247000.0,247000.0,31300000.0,1.0,126.72064777327935,125.72064777327935
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,Goatseus Maximus,Cooker,4800000.0,4800000.0,556000000.0,5.407517291666666,115.83333333333333,110.42581604166666
2LsescRjhcxoUwEQLpcsd3Gh6AHUyqEHANDakkoSpump,Justice for Iryna,melon,320000.0,320000.0,33800000.0,1.0,105.625,104.625
8cQynx5ZaJKwdHsuXmSn3Y16RXta7ZTyTS1hW55Gpump,Catching Pedophiles,ton the neko,16400.0,16400.0,1600000.0,1.0,97.5609756097561,96.5609756097561
CsKfV8ePhQWiyQxNJwXhKZHcmUyNWBkHFGrkZGdJpump,Justice For Charlie,melon,169000.0,169000.0,16300000.0,1.0,96.44970414201184,95.44970414201184
Bs82Bbc9CCWvMPDKBVCZJqMSvAz9heR8fDDPGPvrpump,FBI Informant,melon,7900.0,7900.0,640000.0,1.0,81.0126582278481,80.0126582278481
5DYeeW5mvDPbNBt2qPM1dqUT1YDrBZsEaFxzMq28pump,White Lives Matter,melon,14600.0,14600.0,1100000.0,1.0,75.34246575342466,74.34246575342466
3mqxWtA2e9QVusMi6ZktRTwvJWuGPa8TSwo3Vscwbonk,XYZ,Cooker,9600.0,9600.0,721000.0,1.0,75.10416666666667,74.10416666666667
BALLrveijbhu42QaS2XW1pRBYfMji73bGeYJghUvQs6y,POWERBALL,melon,247000.0,247000.0,18200000.0,1.0,73.6842105263158,72.6842105263158
CPLTbYbtDMKZtHBaPqdDmHjxNwESCEB14gm6VuoDpump,DraperTV,melon,282000.0,282000.0,20400000.0,1.0,72.34042553191489,71.34042553191489
GUiVKWZvtNnc273wBRLEwMBxCoPffPvhRC2ghPySwAFZ,Darwin,Cooker,370000.0,370000.0,26400000.0,1.0,71.35135135135135,70.35135135135135
ixLpiDTKeXhrA1dP6s7y1teNuY2LMj4UWbyw5JFpump,this puppy will be a tren..,melon,6900.0,6900.0,477000.0,1.0,69.1304347826087,68.1304347826087
6h1ACr3LWM1YgVqxwcqEVJtHA2ygT8Z7tutYMy3gbunt,Blunt,Cooker,28300.0,28300.0,1900000.0,1.0,67.13780918727915,66.13780918727915
F228BcJAxfjzJhfwMug4VQ4zWYothnuY8qAYStuwpump,LIFE OF A SHOWGIRL,melon,14800.0,14800.0,936000.0,1.0,63.24324324324324,62.24324324324324
BMh38ofa8FnZ8s3zr2W15bRBVoxmxkV98qqaLm19y777,holy shit,melon,12800.0,12800.0,798000.0,1.0,62.34375,61.34375
zpYnUjeMXHDVWd5Yhp9raghB4HB2XiCgybaacV3pump,Slacker,melon,16000.0,16000.0,961000.0,1.0,60.0625,59.0625
643Bi6ckHT4ikS45pCkMqHbrHqFbAgA6hcEonKP5BAGS,HOLO-Q,Cooker,38200.0,38200.0,2200000.0,1.0,57.59162303664922,56.59162303664922
84XeUpyXPhYvTEzWvVGt8LG3iJLTww4rZSx2RAgFpump,Girlfriend Coin,Cooker,7400.0,7400.0,423000.0,1.0,57.16216216216216,56.16216216216216
GPdJrAJa3Qrzwag5aKsM3bq6x3vFF3966QjTaSYXbonk,USD2,melon,23700.0,23700.0,1300000.0,1.0,54.85232067510549,53.85232067510549
5vMv8xcwscqPREMho4ewYsKZnvKiZCmmaQw1HTCfpump,mini pekka,melon,10000.0,10000.0,497000.0,1.0,49.7,48.7
6dVPjumBqtkbn6reSUqNFoz9B4ZzxowKyDxQYd7gbonk,Bonked Dog,Cooker,8600.0,8600.0,424000.0,1.0,49.30232558139535,48.30232558139535
F6E8uz71KfbajLnKdSH7MqVJdyQsEHkpwRsqvumkpump,THE ALIEN,Cooker,5000.0,5000.0,235000.0,1.0,47.0,46.0
GF8HNiqu4V8EAoUMugzXZ1hbWC1daoSRYPCumCe1pump,CATTURD CULT,Cooker,6900.0,6900.0,293000.0,1.0,42.46376811594203,41.46376811594203
DwDtUqBZJtbRpdjsFw3N7YKB5epocSru25BGcVhfcYtg,Deep Worm,shawns,1300000.0,1300000.0,41800000.0,1.0,32.15384615384615,31.153846153846153
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Cooker,8100000.0,8300000.000000001,257000000.0,1.0246913580246917,31.728395061728396,30.703703703703702
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Peanut the Squirrel,wheat,71400000.0,129700000.0,2300000000.0,1.8165266106442577,32.212885154061624,30.396358543417367
9zM3Y4ANj5YKKBFxLRMGZhqBdC6PdHZVTojgVRhspump,dude,Cooker,5200.0,5200.0,146000.0,1.0,28.076923076923077,27.076923076923077
HM1qfMccuwNsjPTLUY4bHiYF3bSYzn65hZ5vH1P2MiLL,Fishwheel,melon,142000.0,142000.0,3700000.0,1.0,26.056338028169016,25.056338028169016
7x92Nt2kegSizDxoXvU6ApciGyGrtqp9ykyhUWoppump,Schizo,melon,18300.0,18300.0,446000.0,1.0,24.371584699453553,23.371584699453553
