Asset,Type,Strategy_Return_Pct,BuyHold_Return_Pct,Alpha_Pct,Total_Trades,Long_Trades,Short_Trades,Win_Rate_Pct,Max_Drawdown_Pct
OP,CRYPTO,38.19,-80.88,119.07,1,0,1,100.0,-51.63
TRUMP,CRYPTO,8.12,-64.88,73.01,1,1,0,100.0,-18.6
PEPE,CRYPTO,-36.47,-81.92,45.45,1,1,0,0.0,-74.9
PUMP,CRYPTO,0.0,-41.45,41.45,0,0,0,0.0,0.0
SILVER,COMMODITY,37.41,11.69,25.72,1,1,0,100.0,-11.41
FARTCOIN,CRYPTO,-53.29,-77.43,24.14,2,2,0,0.0,-92.51
ETH,CRYPTO,-2.74,-15.27,12.53,10,9,1,60.0,-41.44
XRP,CRYPTO,-28.31,-32.12,3.81,3,3,0,33.3,-51.21
GOLD,COMMODITY,5.75,6.37,-0.62,1,1,0,100.0,-2.59
BTC,CRYPTO,-32.59,-19.72,-12.87,11,8,3,54.5,-40.55
HYPE,CRYPTO,91.62,164.28,-72.67,1,1,0,100.0,-19.81
VIRTUAL,CRYPTO,-49.88,23.21,-73.1,1,1,0,0.0,-68.89
