Asset,Strategy_Return_Pct,BuyHold_Return_Pct,Alpha_Pct,Total_Trades,Long_Trades,Short_Trades,Win_Rate_Pct,Max_Drawdown_Pct,Final_Value,Avg_Win,Avg_Loss
ENS,0.0,-77.06792199058506,77.06792199058506,0,0,0,0.0,0.0,10000.0,0.0,0.0
ADA,11.16917111865936,-61.08786610878661,72.25703722744598,1,1,0,100.0,-25.725693320384146,11116.917111865936,1126.9071218559457,0.0
SUI,3.077965923667016,-68.25161524907001,71.32958117273704,1,1,0,100.0,-25.533313685928675,10307.796592366702,317.7866023567112,0.0
CRV,0.0,-70.25290215588723,70.25290215588723,0,0,0,0.0,0.0,10000.0,0.0,0.0
SEI,0.0,-69.63315217391305,69.63315217391305,0,0,0,0.0,0.0,10000.0,0.0,0.0
W,0.0,-67.11590296495956,67.11590296495956,0,0,0,0.0,0.0,10000.0,0.0,0.0
WIF,0.0,-65.35326086956522,65.35326086956522,0,0,0,0.0,0.0,10000.0,0.0,0.0
ZEC,386.42861777815386,321.82143389476823,64.60718388338563,3,3,0,100.0,-47.79091064680962,48642.861777815386,18610.8367957747,0.0
ONDO,0.0,-64.54740022661461,64.54740022661461,0,0,0,0.0,0.0,10000.0,0.0,0.0
PENGU,0.0,-61.805209060971954,61.805209060971954,0,0,0,0.0,0.0,10000.0,0.0,0.0
FARTCOIN,-18.055681353577473,-78.29592927232099,60.24024791874352,7,7,0,57.14285714285714,-78.79861405428242,8194.431864642253,3685.9952322004992,-2867.3026376061275
ENA,8.2102302624597,-50.10791366906475,58.318143931524446,2,2,0,50.0,-48.22609635860427,10821.02302624597,6151.156808211879,-5304.018730219441
AAVE,0.0,-56.359248405447346,56.359248405447346,0,0,0,0.0,0.0,10000.0,0.0,0.0
SHIB,0.0,-50.14641288433383,50.14641288433383,0,0,0,0.0,0.0,10000.0,0.0,0.0
LINK,14.741892077978811,-24.10785091197462,38.84974298995343,1,1,0,100.0,-20.10215249908793,11474.189207797881,1484.1792177878906,0.0
UNI,0.0,-33.33903231321594,33.33903231321594,0,0,0,0.0,0.0,10000.0,0.0,0.0
USUAL,-53.651858384302265,-84.5088161209068,30.856957736604535,2,2,0,0.0,-67.42897949991303,4634.814161569773,0.0,-2672.895195328353
RENDER,16.373680325075494,-14.010989010989016,30.384669336064512,1,1,0,100.0,-18.174696435566002,11637.36803250755,1647.358042497557,0.0
AVAX,0.0,-28.893587033121914,28.893587033121914,0,0,0,0.0,0.0,10000.0,0.0,0.0
SOL,-29.63386233994362,-56.094453410345714,26.460591070402096,15,13,2,60.0,-52.06567069161373,7036.613766005638,808.3186354558883,-1214.9604398681397
NEAR,-32.31867601648691,-52.66084193804607,20.342165921559157,3,3,0,66.66666666666666,-54.4971651976171,6768.132398351308,474.8484375617618,-415.25186330703036
ME,-81.17194282169187,-96.96223933871877,15.790296517026903,9,9,0,22.22222222222222,-84.75003002918616,1882.805717830812,317.1261458765407,-1245.3616193262508
INJ,0.0,-14.212007504690439,14.212007504690439,0,0,0,0.0,0.0,10000.0,0.0,0.0
MOVE,-82.847138291819,-96.09168380840435,13.244545516585362,10,10,0,30.0,-90.44896505704793,1715.2861708181017,915.3162830116886,-1493.5591974316
BONK,-72.752406405303,-83.10523831996225,10.352831914659248,7,7,0,42.857142857142854,-78.3029890141971,2724.7593594696987,369.52404280324726,-2086.4048094368036
BTC,-11.531943916358887,-17.812830474535275,6.2808865581763875,23,21,2,39.130434782608695,-32.27859170231329,8846.805608364111,529.8497410058467,-367.48318019394094
ETH,-30.14891797668347,-36.07689828632281,5.927980309639338,18,16,2,38.88888888888889,-60.47427803584041,6985.108202331653,1294.7757105991611,-821.1775333730529
JUP,0.0,-5.497131931166353,5.497131931166353,0,0,0,0.0,0.0,10000.0,0.0,0.0
MELANIA,0.0,-4.951237809452359,4.951237809452359,0,0,0,0.0,0.0,10000.0,0.0,0.0
DOGE,-72.70311586617335,-75.02219315049292,2.319077284319576,6,6,0,0.0,-76.18836202982222,2729.688413382665,0.0,-1205.8399271794185
LTC,-45.242061165666605,-47.373977302718394,2.131916137051789,3,3,0,33.33333333333333,-53.02873596328703,5475.793883433339,278.8880500739315,-2389.5808646697524
TRUMP,-75.09070848815274,-76.94989106753813,1.85918257938539,7,7,0,28.57142857142857,-81.29991489761079,2490.929151184725,154.59167446688411,-1557.8033055421565
PEPE,-77.84116528862549,-79.56204379562044,1.72087850699495,7,7,0,28.57142857142857,-82.52464844619092,2215.8834711374507,412.77499069957685,-1714.322080649489
ETC,-64.2330505784542,-51.5015015015015,-12.731549076952696,4,4,0,0.0,-65.52494245642542,3576.69494215458,0.0,-1310.2244110388524
PUMP,-68.33092603710246,-55.1186809204566,-13.21224511664586,4,4,0,25.0,-83.51935631875278,3166.907396289755,1439.4683258196624,-2631.648754191888
VIRTUAL,-14.064502962848055,21.028829847371405,-35.09333281021946,2,2,0,50.0,-72.95312825855952,8593.549703715194,9072.641782303579,-5171.430082425453
XRP,-38.00247773609909,8.848657445077288,-46.851135181176375,7,7,0,42.857142857142854,-66.41473666314042,6199.752226390091,1453.8958390552805,-1315.8927146956325
BCH,-17.68327599433118,34.036603965429585,-51.71987995976076,1,1,0,0.0,-26.812358703843252,8231.672400566882,0.0,-1758.3375894431101
HYPE,-27.88047290212553,168.88412017167386,-196.76459307379938,9,9,0,55.55555555555556,-72.27842184112754,7211.952709787447,2354.8695961740764,-3765.3892394984505
