Asset,Symbol,Strategy,Total Return %,Buy & Hold %,Alpha %,Total Trades,Long Trades,Short Trades,Win Rate %,Max Drawdown %,Final Value
Bitcoin,BTC/USDT,CME Both (24h hold),-29.263077257882088,-14.801809700678112,-14.461267557203977,52,30,22,44.230769230769226,-38.55440437577832,7073.692274211791
Bitcoin,BTC/USDT,CME Both (48h hold),-37.12498567862353,-14.801809700678112,-22.323175977945418,52,30,22,38.46153846153847,-48.84671531869747,6287.501432137647
Bitcoin,BTC/USDT,CME Both (Friday close),-58.551714808744606,-14.801809700678112,-43.74990510806649,52,30,22,40.38461538461539,-65.51116171252498,4144.82851912554
Bitcoin,BTC/USDT,CME Long Only (24h),-16.822699980026464,-14.801809700678112,-2.020890279348352,30,30,0,43.333333333333336,-20.18371455731849,8317.730001997354
Bitcoin,BTC/USDT,CME Short Only (24h),-14.95645720030365,-14.801809700678112,-0.15464749962553803,22,0,22,45.45454545454545,-25.214278773657533,8504.354279969635
Bitcoin,BTC/USDT,"CME Both (2% SL, 4% TP)",-8.054614796242586,-14.801809700678112,6.747194904435526,48,27,21,39.58333333333333,-30.668046450084454,9194.538520375741
Ethereum,ETH/USDT,CME Both (24h hold),9.338728773163785,-13.049370992447196,22.38809976561098,52,23,29,48.07692307692308,-24.63082636271717,10933.872877316378
Ethereum,ETH/USDT,CME Both (48h hold),-10.853194971197917,-13.049370992447196,2.196176021249279,52,23,29,53.84615384615385,-45.55851817410731,8914.680502880208
Ethereum,ETH/USDT,CME Both (Friday close),-38.50256537919461,-13.049370992447196,-25.453194386747413,52,23,29,53.84615384615385,-65.00133232180612,6149.743462080539
Ethereum,ETH/USDT,CME Long Only (24h),-6.656317818783009,-13.049370992447196,6.393053173664187,23,23,0,47.82608695652174,-15.607168740921997,9334.3682181217
Ethereum,ETH/USDT,CME Short Only (24h),17.13564991028956,-13.049370992447196,30.185020902736753,29,0,29,48.275862068965516,-24.05169982689759,11713.564991028956
Ethereum,ETH/USDT,"CME Both (2% SL, 4% TP)",33.12901046299787,-13.049370992447196,46.17838145544506,52,23,29,48.07692307692308,-26.41330096057744,13312.901046299787
Solana,SOL/USDT,CME Both (24h hold),-51.936574481938216,-51.652641952846636,-0.2839325290915795,52,27,25,44.230769230769226,-59.08590416078291,4806.342551806179
Solana,SOL/USDT,CME Both (48h hold),-63.57208809250694,-51.652641952846636,-11.919446139660302,52,27,25,40.38461538461539,-72.45657475619763,3642.791190749306
Solana,SOL/USDT,CME Both (Friday close),-57.52366435690699,-51.652641952846636,-5.871022404060355,52,27,25,46.15384615384615,-76.42073457506542,4247.633564309301
Solana,SOL/USDT,CME Long Only (24h),-45.12948977400713,-51.652641952846636,6.523152178839503,27,27,0,40.74074074074074,-47.30795126095109,5487.051022599287
Solana,SOL/USDT,CME Short Only (24h),-12.405725188074685,-51.652641952846636,39.24691676477195,25,0,25,48.0,-30.724779266404834,8759.427481192532
Solana,SOL/USDT,"CME Both (2% SL, 4% TP)",-17.9485727394262,-51.652641952846636,33.70406921342044,52,27,25,40.38461538461539,-34.48779372459418,8205.14272605738
XRP,XRP/USDT,CME Both (24h hold),-35.60538880372188,-39.60081722457961,3.9954284208577278,52,29,23,44.230769230769226,-55.37472746732439,6439.461119627812
XRP,XRP/USDT,CME Both (48h hold),-40.31416143194094,-39.60081722457961,-0.713344207361331,52,29,23,46.15384615384615,-59.31859854790408,5968.583856805906
XRP,XRP/USDT,CME Both (Friday close),-52.10099820128544,-39.60081722457961,-12.500180976705835,52,29,23,40.38461538461539,-70.75945291184689,4789.900179871455
XRP,XRP/USDT,CME Long Only (24h),-18.825616022283057,-39.60081722457961,20.77520120229655,29,29,0,48.275862068965516,-34.438607349964364,8117.438397771694
XRP,XRP/USDT,CME Short Only (24h),-20.67126593291433,-39.60081722457961,18.929551291665277,23,0,23,39.130434782608695,-39.10708567708702,7932.873406708567
XRP,XRP/USDT,"CME Both (2% SL, 4% TP)",-5.477740485100712,-39.60081722457961,34.1230767394789,52,29,23,42.30769230769231,-38.1484521498527,9452.225951489929
