Strategy,Return %,Trades,Win Rate %,Max DD %
"OPTIMIZED (OI:-0.2, PT:1.5)",6.960394418801898,12,75.0,-4.549836466092036
OI Regime Both (original),4.650215022941757,40,67.5,-4.485573544903574
Aggressive 1.5% target,3.924654540632091,10,70.0,-4.549836466092036
OI Contrarian (original),1.1030015918026037,11,72.72727272727273,-3.7249505305219603
Aggressive 2% target,0.4563829258438636,9,55.55555555555556,-6.621534194923942
Buy & Hold,-3.0073642241697285,1,0.0,N/A
Scalping 1.0%,-3.702316392352077,17,47.05882352941176,-4.787766762962219
Scalping 0.8%,-4.739347682180797,17,47.05882352941176,-5.522179869018109
Adaptive Vol,-7.322120773117785,14,42.857142857142854,-9.79109837003667
Aggressive 3% target,-8.03586511727166,6,16.666666666666664,-9.263443422478757
