Strategy,Trades,Return %,vs B&H,Win %,Max DD %
Dump -1% @ 9:30-11:30 AM → 1.5% trail,3,6.609945044827363,8.040196956658221,66.66666666666666,-8.711437094524518
Dump -0.75% @ 9:30-11:30 AM → 1.5% trail,3,6.42679925590659,7.857051167737448,100.0,-8.883338866272918
Dump -1.5% @ 10AM → 1.5% trail,2,8.776625016666493,10.206876928497351,100.0,-8.404676493799021
Dump -1.25% @ 10AM → 1.5% trail,2,7.115740939184071,8.545992851014928,100.0,-8.711437094524516
Dump -1.0% @ 10AM → 1.5% trail,2,6.80947775677283,8.239729668603688,100.0,-8.71143709452451
Dump -1% @ 10AM → 1.5% trail,2,6.80947775677283,8.239729668603688,100.0,-8.71143709452451
Dump -1% @ 10AM → 2.0% trail,2,6.176893533746079,7.607145445576937,100.0,-9.252097959548971
Dump -0.5% @ 10AM → 1.5% trail,2,6.012672682908706,7.442924594739564,100.0,-8.711437094524523
Dump -0.75% @ 10AM → 1.5% trail,2,6.012672682908706,7.442924594739564,100.0,-8.711437094524523
Dump -1% @ 10AM → 1.0% trail,2,2.983275516450358,4.413527428281216,100.0,-8.377644616886395
