timestamp,action,token_id,id_type,entry_mc,content
2025-03-11 21:58:50.764,BUY,PEPE,ticker,,"IMO for the first time in a while, a lot of the bigger OG memes that created this entire meme craze are at attractive levels for long term buys
$PEPE, $MOG & $SPX come to mind first for me - as these are cemented as OGs and are here to stay IF memes are here to stay
I've bought some SPX here, may gr"
2025-03-11 21:58:50.764,BUY,MOG,ticker,,"IMO for the first time in a while, a lot of the bigger OG memes that created this entire meme craze are at attractive levels for long term buys
$PEPE, $MOG & $SPX come to mind first for me - as these are cemented as OGs and are here to stay IF memes are here to stay
I've bought some SPX here, may gr"
2025-03-11 21:58:50.764,BUY,SPX,ticker,,"IMO for the first time in a while, a lot of the bigger OG memes that created this entire meme craze are at attractive levels for long term buys
$PEPE, $MOG & $SPX come to mind first for me - as these are cemented as OGs and are here to stay IF memes are here to stay
I've bought some SPX here, may gr"
2025-04-10 23:07:20.730,BUY,TITCOIN,name,15000010.0,"Further down the risk curve I also have sized into TITCOIN at 20-30M, expecting it to follow FARTCOIN"
2025-04-14 18:22:03.158,BUY,FARTCOIN,name,,"Re-entered FARTCOIN, think it's ready for the 1B+ break in the next few days"
2025-04-17 15:48:27.995,EXIT,FARTCOIN,name,,"I'm out of FARTCOIN & done trying to trade the breakout, will re-assess if we get $1+ and hold it"
2025-04-29 00:12:50.849,BUY,BIT,name,0.0,"Sized into a bit of HOUSECOIN @ 60M~, believe if we do see another leg in majors and large caps memes it's one of the easiest 50-100% swings on the market (size play)"
2025-04-29 19:02:03.143,EXIT,OUT,name,,"Got shaken out of a part of my position, but left a good amount in. Thesis is playing out. also in a Fartcoin swing I entered last night"
2025-05-02 06:21:22.897,EXIT,BOOP,name,0.0,"I bought some BOOP @ .3~.. I think there's a chance it scam pumps for the next lil bit as float is very low + Dingaling is pretty goated
Think most of the people who were going to get the instant airdrop due to hitting MC requirements likely already did and prob have sold"
2025-06-28 14:45:06.708,BUY,RICH,ticker,,"I think $RICH is a very free bid on any dips, people can shit on LexaPro all they want be we all have seen what HOUSE/USELESS did -- simple case of ""Do you want to be right, or do you want to get rich?"""
2025-06-29 22:27:04.529,BUY,6ZvXsZZAX2ffB5MXEuNBgdXScdZpnmyw42ZxaAKVnGmj,solana_address,9.0,"I believe $STARTUP is the next liquid 10-20x+ on the market and I will highlight my reasoning as to why
First of all, chart is great - it initially ran to a 43M ATH, then dipped 95%~ to a 2.5M~ low and is now regaining volume and looking to reclaim key levels,The chart has consolidated near the bott"
