Strategy,Return %,Trades,Win Rate %,Max DD %
With Stop Loss (baseline),6.960394418801898,12,75.0,-4.549836466092036
Never Loss 1.0% target,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss 1.5% target,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss 2.0% target,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss 2.5% target,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss 3.0% target,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss + Trail 0.3%,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss + Trail 0.5%,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss + Trail 0.8%,-2.380574833650644,0,0.0,-8.753759499395118
Never Loss + Trail 1.0%,-2.380574833650644,0,0.0,-8.753759499395118
Breakeven after 24h,-2.380574833650644,0,0.0,-8.753759499395118
Breakeven after 48h,-2.380574833650644,0,0.0,-8.753759499395118
Breakeven after 72h,-2.380574833650644,0,0.0,-8.753759499395118
Buy & Hold,-3.0073642241697285,1,0.0,N/A
