caller_normalized,total_calls,hit_3x,rugged,holding,win_rate,avg_return_pct,total_return_pct,best_token,best_multiple,first_call,last_call
Cooker,370,3,310,57,0.8108108108108109,-95.38298900369654,-35291.70593136772,ALTAR,268.2926829268293,2024-09-05 01:33:43.869,2026-01-30 07:49:56.554
melon,44,0,44,0,0.0,-100.0,-4400.0,ae,275.86206896551727,2025-08-15 23:08:11.905,2025-12-15 20:31:26.998
ton the neko,30,0,30,0,0.0,-100.0,-3000.0,PASTERNAK,19.023255813953487,2024-10-31 18:35:57.613,2025-12-13 13:00:16.675
beep,19,0,19,0,0.0,-100.0,-1900.0,PKMNSTRAT,1.0,2025-11-07 18:37:15.664,2025-12-14 11:58:05.009
shawns,17,0,11,6,0.0,-99.39841402182424,-1689.773038371012,CATNIP,3.4521739130434783,2024-09-30 20:01:45.178,2025-10-08 19:27:44.964
Chary1,16,0,15,1,0.0,-99.9889,-1599.8224,kapi,3.6429872495446265,2024-09-26 22:24:54.093,2025-02-07 14:22:48.399
atomic,15,0,10,5,0.0,-96.50147009215046,-1447.522051382257,Ban,2.9934640522875817,2024-10-21 11:57:33.724,2025-02-14 22:12:13.326
wheat,12,0,8,4,0.0,-91.54263656749407,-1098.5116388099289,UFD,3.6842105263157894,2024-11-05 14:26:46.628,2025-11-08 04:55:17.087
Altersaber,10,0,10,0,0.0,-100.0,-1000.0,KYNA,2.418918918918919,2025-01-13 21:34:19.334,2025-03-01 20:48:14.408
Furkantekno,8,2,4,2,25.0,-24.928396195652173,-199.42716956521738,CHILLGUY,4.044725,2024-11-17 13:33:26.647,2025-11-10 21:17:11.084
Pharoh,6,0,5,1,0.0,-99.709243509865,-598.25546105919,RDMP,100.14947683109118,2024-10-29 01:23:36.132,2025-06-16 18:34:56.920
WolfsRain,5,0,2,3,0.0,-98.85921191891902,-494.2960595945951,TruthFI,1.368421052631579,2024-11-13 11:58:27.092,2025-05-12 11:45:55.545
queady,4,0,2,2,0.0,-99.40319556451614,-397.61278225806456,daige,1.5277777777777777,2024-11-28 14:59:50.764,2024-12-28 14:13:14.584
Grimm,3,0,3,0,0.0,-100.0,-300.0,UNK,2.9411764705882355,2024-12-04 06:57:09.958,2025-07-06 22:50:37.674
ven,2,0,2,0,0.0,-100.0,-200.0,UNK,1.0,2025-10-17 13:32:20.261,2025-10-17 14:51:39.489
chefboyardli (mossad arc),2,0,2,0,0.0,-100.0,-200.0,UNK,9.705882352941176,2025-04-21 04:07:03.117,2025-07-05 15:15:02.144
Potter,1,0,1,0,0.0,-100.0,-100.0,ANGEL,1.4666666666666666,2024-10-10 09:25:11.331,2024-10-10 09:25:11.331
chefboyardli (mossad arc) PSTL Bounty,1,0,1,0,0.0,-100.0,-100.0,UNK,2.657142857142857,2025-06-16 16:51:32.413,2025-06-16 16:51:32.413
tensai kurooso,1,0,1,0,0.0,-100.0,-100.0,BBC,1.2278389601011013,2024-10-30 20:20:27.208,2024-10-30 20:20:27.208
tensai kurooso PSTL Admin,1,0,1,0,0.0,-100.0,-100.0,BBC,1.2385179069047374,2024-11-01 19:22:32.689,2024-11-01 19:22:32.689
