caller_normalized,calls,wins,win_rate,avg_max,best,best_token,cnt_100x,cnt_10x,cnt_5x,cnt_3x
Cooker,370,63,17.027027027027028,8.95688872642157,268.2926829268293,ALTAR,9,43,62,84
melon,44,25,56.81818181818182,48.21497823535345,323.7822349570201,YZY,6,20,26,28
ton the neko,30,4,13.333333333333334,28.12853986424726,567.7966101694915,G*BOY,2,4,4,5
beep,19,4,21.052631578947366,2.075595561994728,5.6,:pill:Click to learn more Never Give Up,0,0,1,4
shawns,17,4,23.52941176470588,5.633386551138365,32.15384615384615,Deep Worm,0,2,4,5
Chary1,16,0,0.0,1.2775378891477365,3.6429872495446265,kapi plara,0,0,0,1
atomic,15,3,20.0,5.830300531063352,61.19166666666667,OFFICIAL TRUMP,0,1,3,3
wheat,12,2,16.666666666666664,4.335299129558822,32.212885154061624,Peanut the Squirrel,0,1,2,3
Altersaber,10,0,0.0,1.4105008861425834,2.418918918918919,Kyna,0,0,0,0
Furkantekno,8,2,25.0,21.76570147484834,162.0,Just a chill guy,1,1,1,2
Pharoh,6,1,16.666666666666664,17.81792449485579,100.14947683109118,Roadmap Coin,1,1,1,1
WolfsRain,5,0,0.0,1.129116131022366,1.368421052631579,TruthFi,0,0,0,0
queady,4,0,0.0,1.2317396714643656,1.5277777777777777,Daige,0,0,0,0
Grimm,3,0,0.0,1.7155740817453742,2.9411764705882355,Satfi,0,0,0,0
ven,2,0,0.0,1.0,1.0,LAB,0,0,0,0
chefboyardli (mossad arc),2,0,0.0,5.352941176470588,9.705882352941176,Unknown,0,0,1,1
Potter,1,0,0.0,1.4666666666666666,1.4666666666666666,Angel,0,0,0,0
chefboyardli (mossad arc) PSTL Bounty,1,0,0.0,2.657142857142857,2.657142857142857,VIBE CAT,0,0,0,0
tensai kurooso,1,0,0.0,1.2278389601011013,1.2278389601011013,BBC AI,0,0,0,0
tensai kurooso PSTL Admin,1,0,0.0,1.2385179069047374,1.2385179069047374,BBC AI,0,0,0,0
