caller,caller_content,timestamp,token_name,ticker,address,chain,entry_fdv,ath_at_call,caller_normalized,current_fdv,liquidity,result,return_pct,exit_multiple,hit_3x,max_multiple,max_category
Cooker,"0x403963f87d6822cBf2ab3b6e1Ec5E9D6550DABA9
Jez deployed this",2024-09-05 01:33:43.869,Farmer Ben,BEN,3963f87d6822cBf2ab3b6e1Ec5E9D655,solana,976300.0,4700000.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,4.814094028474854,3-5x
Cooker,"0x081044031AFfA0B44ea785e6e5806C2E6B25263b
Bought some of this earlier as a longer term play, appare",2024-09-06 01:42:18.352,VOTE FOR PEDRO,PEDRO,0x081044031AFfA0B44ea785e6e5806C2E6B25263b,ethereum,2100000.0,2500000.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,1.1904761904761905,<2x
Cooker,"3AbTNvYNZdrnfBJrXKJBRgchBaCU7DA8pwUD5RaMpump
Bought some of this as giga degen, skip if you’re worri",2024-09-06 23:17:45.575,MuskKong,MKong,3AbTNvYNZdrnfBJrXKJBRgchBaCU7DA8pwUD5RaMpump,solana,59400.0,59400.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,8.0,5-10x
Cooker PSTL Admin,"6GLvHngRdP5dUpbt721dSi8p3TJAm7BhjRkagdUDpump
Yes I bought some of this earlier, when it was shared u",2024-09-09 21:29:35.923,Disco Ball Pigeon,DBP,6GLvHngRdP5dUpbt721dSi8p3TJAm7BhjRkagdUDpump,solana,288900.0,301900.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,1.0449982692973347,<2x
Cooker,"58kRyX3298PvpXYHTif4ZBGaURSn67N6o1HaZDXApump
0xf280B16EF293D8e534e370794ef26bF312694126
Bought these",2024-09-10 10:39:15.566,Asteroid Shiba,ASTEROID,0xf280B16EF293D8e534e370794ef26bF312694126,ethereum,1300000.0,1900000.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,1.4615384615384615,<2x
Cooker,"0xfe5341A0D57A9A1dE0f6F962C323b12615e2176B
AdvjzHW4PgZcbwrUcRq45uTHA8DnRpq9ikQ11TaGpump
Bought both ",2024-09-10 21:41:51.096,MAGA CAT,MAGACAT,0xfe5341A0D57A9A1dE0f6F962C323b12615e2176B,ethereum,358100.0,547300.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,1.5283440379782183,<2x
Cooker,"5sKzmt2SCGaLp99hzZuLWRoZGxNiEJZuMpy84D3vpump
Bought some of this at the top just playing the volume,",2024-09-15 02:44:33.520,Deepjyoti,UNK,5sKzmt2SCGaLp99hzZuLWRoZGxNiEJZuMpy84D3vpump,solana,311300.0,311300.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,3.0,3-5x
Cooker,"Fair3oKKbcrGjcka2tTYQdyS6sYnyyQqbCTTiNmE3WHK
In this, obvious, attention play",2024-09-15 04:00:56.650,FAIR,UNK,Fair3oKKbcrGjcka2tTYQdyS6sYnyyQqbCTTiNmE3WHK,solana,5000000.0,5000000.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,2.0,2-3x
Cooker,"C8RHbZyfbRkYfMa3iGnDMmZNgHuToj4NKPm9NC3Jpump
I’m liking Niko here on the leg up, hoping to catch thi",2024-09-19 03:30:05.044,niko,niko,C8RHbZyfbRkYfMa3iGnDMmZNgHuToj4NKPm9NC3Jpump,solana,127000.0,146400.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,1.152755905511811,<2x
Cooker,"DvEjtdQMZR3FXANfmDPpq3U3kZjrubQHJ5bcP3bVpump
Bought this earlier, pushed the migration at like 25k w",2024-09-19 04:20:51.197,chip the duck,CHIP,DvEjtdQMZR3FXANfmDPpq3U3kZjrubQHJ5bcP3bVpump,solana,178800.0,215900.0,Cooker,0.0,0.0,RUGGED,-100.0,0.0,False,1.2074944071588367,<2x
