caller,timestamp,action,token,address,content,token_name,token_symbol,current_fdv
JS,2025-06-17 02:10:49.665,EXIT,SOL_TOKEN,6g65Drfejv98Ba1LYQAV44z5QmZAX4MzxhyBqsfLz6ZZ,https://photon-sol.tinyastro.io/en/lp/6g65Drfejv98Ba1LYQAV44z5QmZAX4MzxhyBqsfLz6ZZ?handle=2854405faf5998289c7c84,Unknown,UNK,0
Rick [bot],2025-06-17 02:10:50.782,ALERT,xavier,69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,"Xavier: Renegade Angel [11.9M/104%] - xavier/SOL ⬆︎
Solana @ Raydium
USD: $0.012
FDV: $11.9M ➡︎ ATH: $18.9M [8h]
Liq: $577K [x41]
Vol: $7M Age: 7mo
1H: -7.7% ⋅ $63.7K 🅑 250 Ⓢ 185
TH: 3.0⋅3.0⋅2.7⋅2.3⋅2",Unknown,UNK,0
JS,2025-06-17 18:04:59.148,EXIT,SOL_TOKEN,9u6jgay5ysvtqjdzc3t7xti7sznrggn1w,"IMO $CUPSEY is a great front run for when Pump does their coin, all attention will be on their launch & people will want betas. What better beta is there then the official PumpFun mascot. ATH’s at 20M",Unknown,UNK,0
Rick [bot],2025-06-17 18:05:00.385,ALERT,Cupsey,5PsnNwPmMtsGZgG6ZqMoDJJi28BR5xpAotXHHiQhpump,"Cupsey [4.9M/77.3%] - Cupsey/SOL ⬆︎
Solana @ Raydium #2
USD: $0.0048671
FDV: $4.9M ➡︎ ATH: $20.5M [7mo]
Liq: $540K [x18]
Vol: $2M Age: 7mo
1H: 130% ⋅ $1.5M 🅑 2K Ⓢ 1.8K
TH: 2.5⋅2.1⋅1.6⋅1.5⋅1.3 [15%]
Mi",Unknown,UNK,0
JS,2025-06-18 21:02:50.589,EXIT,SOL_TOKEN,A4vYhW1G1yYJSMRKQensmNnzZGRbnz27PNDgxqvQb7P5,https://photon-sol.tinyastro.io/en/lp/A4vYhW1G1yYJSMRKQensmNnzZGRbnz27PNDgxqvQb7P5?handle=2854405faf5998289c7c84,Unknown,UNK,0
Rick [bot],2025-06-18 21:02:51.366,ALERT,CCM,HanwWd7qa9wBwmE223rTdACRgoSppkrMhQoCmHLypump,"Creator Capital Markets [572K/195%] - CCM/SOL ⬆︎
Solana @ PumpSwap
USD: $0.0005718
FDV: $572K ➡︎ ATH: $1.2M [6h]
Liq: $97.6K [x12]
Vol: $3M Age: 28d
1H: -3% ⋅ $121K 🅑 329 Ⓢ 373
TH: 2.8⋅2.8⋅2.7⋅2.7⋅2.6",Unknown,UNK,0
Rick [bot],2025-06-28 14:45:07.861,ALERT,UNKNOWN,5oUzkFsCFMJJ23Z6Ghev5m7FjE6TtrqZJXUS7V5Smoon,"GET RICH QUICK [4.5M/345%] - RICH/USDC ⬆︎
Solana @ Meteora Dyn2
USD: $0.0044796
FDV: $4.5M ➡︎ ATH: $8.1M [2h]
Liq: $284K [x32]
Vol: $6M ⋅ Age: 19h
1H: -13.1% ⋅ $341K 🅑 861 Ⓢ 640
TH: 3.1⋅2.1⋅2.0⋅1.9⋅1.",Unknown,UNK,0
JS,2025-06-29 22:27:04.529,EXIT,SOL_TOKEN,6ZvXsZZAX2ffB5MXEuNBgdXScdZpnmyw42ZxaAKVnGmj,"I believe $STARTUP is the next liquid 10-20x+ on the market and I will highlight my reasoning as to why
First of all, chart is great - it initially ran to a 43M ATH, then dipped 95%~ to a 2.5M~ low an",Unknown,UNK,0
Rick [bot],2025-07-01 03:29:03.498,ALERT,UNKNOWN,5PsnNwPmMtsGZgG6ZqMoDJJi28BR5xpAotXHHiQhpump,"Cupsey [4.1M/-10.8%] - Cupsey/SOL ⬆︎
Solana @ Raydium
USD: $0.0040553
FDV: $4.1M ➡︎ ATH: $20.5M [7mo]
Liq: $518K [x16]
Vol: $664K ⋅ Age: 7mo
1H: -4.3% ⋅ $137K 🅑 400 Ⓢ 215
TH: 2.1⋅1.8⋅1.5⋅1.5⋅1.5 [14%]",Unknown,UNK,0
JS,2025-07-05 18:04:42.584,EXIT,SOL_TOKEN,5gPwjkvxbaqwYXwrZ8L4EBKBWGnihRyj6ayP2bhTU4xP,https://photon-sol.tinyastro.io/en/lp/5gPwjkvxbaqwYXwrZ8L4EBKBWGnihRyj6ayP2bhTU4xP?handle=287042487b76bff1d627f1,Unknown,UNK,0
